variant,m,k,n,processes,nodes,tile,run_label,mapping,pe,runs,time_avg_sec,time_min_sec,time_std_sec,baseline_time_sec,speedup,efficiency,amdahl_serial_fraction,amdahl_parallel_fraction,amdahl_speedup,amdahl_max_speedup,checksum_hashes
mpi,4096,4096,4096,44,3,32,report_confirm,slots_12_16_16,1,1,122.705486940,122.705486940,0.000000000,,,,,,,,1
mpi_2d,4096,4096,4096,16,3,32,report_confirm,slots_4_6_6,1,1,34.113050730,34.113050730,0.000000000,,,,,,,,1
mpi_tiled,4096,4096,4096,44,3,32,report_confirm,slots_12_16_16,1,1,36.425534650,36.425534650,0.000000000,,,,,,,,1
mpi_2d,4096,4096,4096,25,3,4096,report_grid_sweep,slots_7_9_9_grid_5x5,1,1,42.395486681,42.395486681,0.000000000,,,,,,,,1
mpi_2d,4096,4096,4096,36,3,4096,report_grid_sweep,slots_10_13_13_grid_6x6,1,1,51.703727793,51.703727793,0.000000000,,,,,,,,1
mpi_2d,10000,10000,10000,16,3,32,report_large_10000,slots_4_6_6,1,1,214.210281597,214.210281597,0.000000000,,,,,,,,1
mpi_2d,10000,10000,10000,16,3,10000,report_large_10000_opt,slots_4_6_6_panel_10000,1,1,194.533927698,194.533927698,0.000000000,,,,,,,,1
mpi,1024,1024,1024,16,3,32,report_medium,slots_4_6_6,1,1,7.527131256,7.527131256,0.000000000,,,,,,,,1
mpi,1024,1024,1024,32,3,32,report_medium,slots_8_12_12,1,1,6.263025687,6.263025687,0.000000000,,,,,,,,1
mpi,1024,1024,1024,44,3,32,report_medium,slots_12_16_16,1,1,4.780923992,4.780923992,0.000000000,,,,,,,,1
mpi_2d,1024,1024,1024,16,3,32,report_medium,slots_4_6_6,1,1,2.872479494,2.872479494,0.000000000,,,,,,,,1
mpi_2d,1024,1024,1024,32,3,32,report_medium,slots_8_12_12,1,1,5.396551685,5.396551685,0.000000000,,,,,,,,1
mpi_2d,1024,1024,1024,44,3,32,report_medium,slots_12_16_16,1,1,7.537107604,7.537107604,0.000000000,,,,,,,,1
mpi_tiled,1024,1024,1024,16,3,32,report_medium,slots_4_6_6,1,1,7.283346407,7.283346407,0.000000000,,,,,,,,1
mpi_tiled,1024,1024,1024,32,3,32,report_medium,slots_8_12_12,1,1,5.786859458,5.786859458,0.000000000,,,,,,,,1
mpi_tiled,1024,1024,1024,44,3,32,report_medium,slots_12_16_16,1,1,5.213925758,5.213925758,0.000000000,,,,,,,,1
mpi,2048,2048,2048,16,3,32,report_medium,slots_4_6_6,1,1,25.625391055,25.625391055,0.000000000,,,,,,,,1
mpi,2048,2048,2048,32,3,32,report_medium,slots_8_12_12,1,1,15.003731242,15.003731242,0.000000000,,,,,,,,1
mpi,2048,2048,2048,44,3,32,report_medium,slots_12_16_16,1,1,12.437783859,12.437783859,0.000000000,,,,,,,,1
mpi_2d,2048,2048,2048,16,3,32,report_medium,slots_4_6_6,1,1,10.297413238,10.297413238,0.000000000,,,,,,,,1
mpi_2d,2048,2048,2048,32,3,32,report_medium,slots_8_12_12,1,1,17.375671058,17.375671058,0.000000000,,,,,,,,1
mpi_2d,2048,2048,2048,44,3,32,report_medium,slots_12_16_16,1,1,24.285452263,24.285452263,0.000000000,,,,,,,,1
mpi_tiled,2048,2048,2048,16,3,32,report_medium,slots_4_6_6,1,1,21.145743626,21.145743626,0.000000000,,,,,,,,1
mpi_tiled,2048,2048,2048,32,3,32,report_medium,slots_8_12_12,1,1,14.926325694,14.926325694,0.000000000,,,,,,,,1
mpi_tiled,2048,2048,2048,44,3,32,report_medium,slots_12_16_16,1,1,11.564410076,11.564410076,0.000000000,,,,,,,,1
mpi_2d,4096,4096,4096,16,3,1024,report_panel_sweep,slots_4_6_6_panel_1024,1,1,36.468881455,36.468881455,0.000000000,,,,,,,,1
mpi_2d,4096,4096,4096,16,3,2048,report_panel_sweep,slots_4_6_6_panel_2048,1,1,34.405575449,34.405575449,0.000000000,,,,,,,,1
mpi_2d,4096,4096,4096,16,3,4096,report_panel_sweep,slots_4_6_6_panel_4096,1,1,33.862474654,33.862474654,0.000000000,,,,,,,,1
